Instances,STOP_T40,ALNS_T40,GAP_T40,STOP_T60,ALNS_T60,GAP_T60,STOP_T80,ALNS_T80,GAP_T80
11berlin52,2584,2584,0,2608,2608,0,2608,2608,0
11eil51,1929,1929,0,2575,2575,0,2575,2575,0
14st70,2736,2736,0,3218,3218,0,3513,3513,0
16eil76,2518,2518,0,3728,3728,0,3800,3800,0
16pr76,3550,3550,0,3729,3729,0,3800,3800,0
20kroA100,3894,3894,0,4920,4920,0.0,5008,5008,0
20kroB100,4357,4357,0,4668,4925,0.0550556983718937,5008,5008,0
20kroC100,3586,3586,0,4717,4717,0,5008,5008,0
20kroD100,3799,3799,0,4695,4695,0,5008,5008,0
20kroE100,4614,4614,0,4910,4910,0,5008,5008,0
20rat99,3624,3624,0,4516,4516,0,5007,5007,0
20rd100,4181,4181,0,5008,5008,0,5008,5008,0
21eil101,4264,4264,0,4933,4933,0,5050,5050,0
21lin105,4814,4814,0,5228,5228,0,5228,5228,0
22pr107,4740,4740,0,5363,5363,0,5363,5363,0
25pr124,5035,5035,0,5947,5947,0,6232,6232,0
26bier127,6329,6329,0,6333,6333,0,6333,6333,0
26ch130,5630,5630,0,6472,6472,0.0,6503,6503,0
28pr136,6106,6106,0,6692,6692,0,6850,6850,0
29pr144,6848,6848,0,7151,7151,0,7242,7242,0
30ch150,6025,6025,0,7382,7382,0,7533,7533,0
30kroA150,5450,5399,-0.00935779816513761,7315,7315,0,7533,7533,0
30kroB150,6255,6255,0,7454,7454,0,7533,7533,0
31pr152,6928,6928,0,7658,7658,0,7658,7658,0
32u159,7507,7507,0,7942,7942,0,8037,8037,0
39rat195,6813,6813,0,9022,9022,0,9863,9863,0
40d198,7480,7538,0.00775401069518717,9952,9952,0,9952,9952,0
40kroa200,9014,9014,0,10010,10010,0,10058,10058,0
40krob200,8315,8315,0,10011,10011,0,10058,10058,0
45ts225,9835,9835,0.0,11308,11308,0,11308,11308,0
45tsp225,8373,8373,0,10786,10796,0.000927127758205081,11308,11308,0
46pr226,10322,10312,-0.000968804495252858,11063,11025,-0.00343487300009039,11375,11308,-0.00589010989010989
53gil262,10309,10309,0,12839,12839,0,13193,13193,0
53pr264,12304,12304,0,12658,12658,0,13302,13302,0
56a280,10285,10239,-0.0044725328147788,13252,13252,0.0,14178,14178,0
60pr299,12995,12995,0,14688,14688,0,15107,15107,0
64lin318,14760,14760,0,15993,15993,0,16037,16037,0
80rd400,18040,17945,-0.005266075388026608,20135,20130,-0.00024832381425378696,20158,20158,0
84fl417,19107,19107,0,20655,20644,-0.000532558702493343,21048,21048,0
88pr439,21861,21872,0.000503179177530763,22177,22177,0,22177,22177,0
89pcb442,19108,18695,-0.02161398367176052,22269,22323,0.002424895594773003,22323,22323,0
99d493,21105,21038,-0.00317460317460317,24705,24705,0.0,24862,24862,0
115rat575,21591,20152,-0.06664814042888241,27867,27459,-0.0146409731941005,29033,29033,0
115u574,25944,25755,-0.00728492136910268,28949,28956,0.000241804552834295,28957,28957,0
131p654,30212,30212,0,32442,32442,0,32997,32997,0
132d657,27018,26673,-0.01276926493448812,32910,32894,-0.000486174415071407,33188,33188,0
145u724,31133,30744,-0.0124947804580349,36360,36299,-0.00167766776677668,36532,36532,0
157rat783,30124,27973,-0.0714048599123622,38456,37285,-0.0304503848554192,39517,39517,0
201pr1002,45319,42400,-0.0644100708312187,50467,50413,-0.00107000614262786,50583,50583,0
212u1060,49376,45801,-0.0724035968891769,53528,53468,-0.00112090868330593,53548,53548,0
217vm1084,53082,52920,-0.00305188199389624,54712,54712,0,54712,54712,0
